species	group	category	fold	from	to	delta	PiS	PiN	PiNPiS	syn_counts	nsyn_counts	Lsyn	Lnsyn	TD4	TD0	GC3	gradient	eps	Sd	beta	pb	Sb	alpha	D1	D2	D3	D4
Qa	tree	0:DEL-DEL	0	-2	-2	0	0.01273718	0.006497992	0.5101596	13643	1468	251324	54855	-0.7033292	-0.5808306	0.4595638	0.00006	0.004512962	-1117.940295	0.648461705	0.381659442	2.742288772	0.994248	0.007246115	0.024904784	0.106542483	0.479647177
Qa	tree	0:DEL-EXDEL	0	-2	-3	-1	0.01305874	0.002313413	0.17715444	12147	1331	217252	116333	-0.7193784	-1.1846018	0.4599993	0.00008	3.66E-05	-3290.262694	0.237976081	0.000120571	0.147517066	0.001099	0.160088055	0.116674154	0.199463688	0.523653532
Qa	tree	0:DEL-STABLE	0	-2	0	2	0.01212023	0.05229706	4.31485822	33381	4811	649224	28635	-0.6871968	0.4376874	0.46244	0.00009	8.49E-07	-0.001038975	0.01410889	0.989998339	49.99895974	0.999798	0.010001661	0	0	0
Qa	tree	0:DEL-TOL	0	-2	-1	1	0.01293305	0.018984237	1.46788585	16856	1878	308853	28779	-0.6685761	0.1346289	0.4605045	0.00008	0.019538724	-4909.005001	4.56092502	0.792798408	49.98688168	1	5.25E-20	1.91E-15	6.84E-11	0.207201592
Qa	tree	0:EXDEL-DEL	0	-3	-2	1	0.01047786	0.058351801	5.56905788	1075	131	25633	760	-0.4760373	0.8299933	0.463724	0.00007	0.000026687	-2309.407417	4.741668327	0.989945629	49.97092556	1	1.46E-20	8.01E-16	4.28E-11	0.010054371
Qa	tree	0:EXDEL-EXDEL	0	-3	-3	0	0.01690668	0.001588338	0.09394732	333	31	4890	4596	-0.4971367	-0.6463753	0.4693005	0.00007	0.03144629	-4916.58684	0.594806763	0.05293852	9.367113222	0.988119	0.006756098	0.019802568	0.077207551	0.843295262
Qa	tree	0:EXDEL-STABLE	0	-3	0	3	0.01244107	0.674130141	54.18585779	16494	3425	318507	1794	-0.6198737	1.0602674	0.4862682	0.00013	2.42E-09	-0.000940203	0.01650529	0.989999996	49.99999801	0.999798	0.010000004	0	0	0
Qa	tree	0:EXDEL-TOL	0	-3	-1	2	0.01174519	0.181204819	15.42799896	1581	210	33033	415	-0.5423816	1.1235108	0.4702067	0.0001	1.38E-06	-1.387680756	0.01167699	0.989997526	49.99843154	0.999808	0.009960104	4.24E-05	1.10E-08	0
Qa	tree	0:STABLE-DEL	0	0	-2	-2	0.01081502	0.003044719	0.28152676	118084	60969	2500323	3936703	-0.7874106	-1.2699848	0.4801444	0.00018	2.96E-07	-163.6666726	0.326632218	4.42E-06	0.069394528	0.000029	0.21132856	0.231029615	0.388656566	0.168980836
Qa	tree	0:STABLE-EXDEL	0	0	-3	-3	0.01114624	0.001569909	0.14084655	107408	74092	2202124	8947901	-0.7944627	-1.3742478	0.4818798	0.00027	2.90E-07	-1128.598787	0.345066916	2.05E-06	0.0505433	0.000028	0.099167346	0.119885298	0.256136721	0.524808589
Qa	tree	0:STABLE-STABLE	0	0	0	0	0.01642418	0.009420334	0.57356506	1871	171	27290	4321	-0.6293953	-0.6444702	0.4623976	0.00008	0.013614201	-45.10881151	4.840504108	0.365466603	8.236245943	0.999989	6.68E-11	3.93E-06	0.055094735	0.579434737
Qa	tree	0:STABLE-TOL	0	0	-1	-1	0.01022865	0.005738649	0.56103699	135477	111792	3037634	4178727	-0.7822609	-1.0032199	0.4814203	0.00166	4.79E-06	-53.76337068	0.162049902	0.000204411	0.015077619	0.000482	0.562697627	0.236378075	0.188663561	0.012056325
Qa	tree	0:TOL-DEL	0	-1	-2	-1	0.01219518	0.003564382	0.29227786	64850	12762	1217210	728692	-0.7888796	-1.1666644	0.4738755	0.00005	1.62E-06	-491.9126346	0.230787424	1.27E-05	0.269652668	0.000075	0.262578705	0.182629378	0.287687232	0.26709197
Qa	tree	0:TOL-EXDEL	0	-1	-3	-2	0.01316287	0.001386258	0.10531584	36326	5081	630920	695492	-0.7930685	-1.3713337	0.4709283	0.00008	1.11E-06	-4445.105399	0.313687237	5.83E-06	0.030948919	0.0001	0.080097621	0.084755423	0.172972957	0.662168167
Qa	tree	0:TOL-STABLE	0	-1	0	1	0.01106628	0.018587603	1.67966211	101993	32478	2115431	460757	-0.7795665	-0.2706236	0.4764588	0.00493	0.026859277	-0.482565751	0.010405429	0.989978669	44.89791893	0.999782	0.010016638	4.69E-06	5.00E-15	0
Qa	tree	0:TOL-TOL	0	-1	-1	0	0.01066053	0.007191138	0.67455743	118138	68047	2549205	2162348	-0.771974	-0.7946036	0.4804803	0.00122	0.02396071	-4801.745784	0.056454069	0.094657718	8.285872185	0.618968	0.57812503	0.080187871	0.09063867	0.156390711
Qv	tree	0:DEL-DEL	0	-2	-2	0	0.011233397	0.005073427	0.4516378	9190	1127	196821	54648	-0.6147285	-0.5330336	0.4506599	0.00007	0.053486104	-48.60129494	4.246576632	0.234571066	45.64395596	0.999994	1.48E-09	2.25E-05	0.093830012	0.671576455
